0,Title,Enrollment,Stars,Link,Website
124,Leaders of Learning,231131,4.6,https://www.edx.org/course/leaders-of-learning,edX
125,English for Business and Entrepreneurship,230000,4.8,https://www.coursera.org/,Coursera
126,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,230000,4.8,https://www.coursera.org/,Coursera
127,Project Management Principles and Practices,230000,4.7,https://www.coursera.org/,Coursera
128,Unreal Engine C++ Developer: Learn C++ and Make Video Games,229005,4.5,https://www.udemy.com/course/unrealcourse/,Udemy
129,Python Basics for Data Science,228809,4.6,https://www.edx.org/course/python-basics-for-data-science,edX
130,Algorithmic Toolbox,220000,4.7,https://www.coursera.org/,Coursera
131,Applied Data Science,220000,4.6,https://www.coursera.org/,Coursera
132,Contabilidad para no contadores,220000,4.7,https://www.coursera.org/,Coursera
133,COVID-19 Contact Tracing,220000,4.9,https://www.coursera.org/,Coursera
134,Data Analysis and Presentation Skills: the PwC Approach,220000,4.6,https://www.coursera.org/,Coursera
135,Functional Programming in Scala,220000,4.7,https://www.coursera.org/,Coursera
136,IBM Applied AI,220000,4.6,https://www.coursera.org/,Coursera
137,Introduction to HTML5,220000,4.7,https://www.coursera.org/,Coursera
138,Introduction to Marketing,220000,4.8,https://www.coursera.org/,Coursera
139,Leading People and Teams,220000,4.7,https://www.coursera.org/,Coursera
140,Social Psychology,220000,4.7,https://www.coursera.org/,Coursera
141,Statistics with R,220000,4.7,https://www.coursera.org/,Coursera
142,Structuring Machine Learning Projects,220000,4.8,https://www.coursera.org/,Coursera
143,Using Databases with Python,220000,4.8,https://www.coursera.org/,Coursera
144,Becoming a Successful Leader (Inclusive Leadership Training),215705,4.8,https://www.edx.org/course/becoming-a-successful-leader-inclusive-leadershi-2,edX
145,Programming Basics,215059,4.7,https://www.edx.org/course/programming-basics,edX
146,Child Protection: Children's Rights in Theory and Practice,212453,4.6,https://www.edx.org/course/child-protection-childrens-rights-in-theory-and-pr,edX
147,Become a CBRS Certified Professional Installer by Google,210000,4.9,https://www.coursera.org/,Coursera
148,Data Science: Statistics and Machine Learning,210000,4.4,https://www.coursera.org/,Coursera
149,Guitar for Beginners,210000,4.8,https://www.coursera.org/,Coursera
150,Front End Web Development For Beginners (A Practical Guide),209637,4.2,https://www.udemy.com/course/learn-front-end-development/,Udemy
151,Python for beginners,209331,4.4,https://www.udemy.com/course/python-core-and-advanced/,Udemy
152,Nutrition and Health: Macronutrients and Overnutrition,208582,4.8,https://www.edx.org/course/nutrition-and-health-macronutrients-and-overnutrit,edX
153,Probability - The Science of Uncertainty and Data,205615,4.7,https://www.edx.org/course/probability-the-science-of-uncertainty-and-data,edX
154,The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,203366,4.6,https://www.udemy.com/course/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/,Udemy
