index,Title,Summary,Enrollment,Stars,Link,Website
29,Introduction to Data Science in Python,University of Michigan,390000,4.5,https://www.coursera.org/,Coursera
30,Python for Data Science and Machine Learning Bootcamp,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",387789,4.6,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,Udemy
31,Digital Marketing,University of Illinois at Urbana-Champaign,380000,4.6,https://www.coursera.org/,Coursera
32,Java Programming and Software Engineering Fundamentals,Duke University,380000,4.6,https://www.coursera.org/,Coursera
33,Introduction to Philosophy,The University of Edinburgh,370000,4.6,https://www.coursera.org/,Coursera
34,SAS Programmer,SAS,370000,4.8,https://www.coursera.org/,Coursera
35,Stanford Introduction to Food and Health,Stanford University,370000,4.7,https://www.coursera.org/,Coursera
36,Complete C# Unity Game Developer 2D,"Learn Unity in C# & Code Your First Seven 2D Video Games for Web, Mac & PC. The Tutorials Cover Tilemap (35 hours)",364934,4.6,https://www.udemy.com/course/unitycourse/,Udemy
37,AI For Everyone,deeplearning.ai,350000,4.8,https://www.coursera.org/,Coursera
38,Competitive Strategy and Organization Design,Ludwig-Maximilians-Universität München (LMU),350000,4.7,https://www.coursera.org/,Coursera
39,Google IT Support,Google,350000,4.8,https://www.coursera.org/,Coursera
40,The Complete JavaScript Course 2020: Build Real Projects!,"Master JavaScript with the most complete course! Projects, challenges, quizzes, JavaScript ES6+, OOP, AJAX, Webpack",347979,4.6,https://www.udemy.com/course/the-complete-javascript-course/,Udemy
41,Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,340000,4.7,https://www.coursera.org/,Coursera
42,Object Oriented Programming in Java,Duke University,330000,4.6,https://www.coursera.org/,Coursera
43,The Data Science Course 2020: Complete Data Science Bootcamp,"Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning",325047,4.5,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,Udemy
44,A Life of Happiness and Fulfillment,Indian School of Business,320000,4.8,https://www.coursera.org/,Coursera
45,Advanced Data Science with IBM,IBM,320000,4.4,https://www.coursera.org/,Coursera
46,The Singer Songwriter,Berklee College of Music,320000,4.8,https://www.coursera.org/,Coursera
47,Learn HTML5 Programming From Scratch,A Complete HTML5 Programming Course for Beginners,317729,4.3,https://www.udemy.com/course/learn-html5-programming-from-scratch/,Udemy
48,Architecting with Google Compute Engine,Google Cloud,310000,4.7,https://www.coursera.org/,Coursera
49,Cloud Engineering with Google Cloud,Google Cloud,310000,4.7,https://www.coursera.org/,Coursera
50,Finanzas personales,Universidad Nacional Autónoma de México,310000,4.8,https://www.coursera.org/,Coursera
51,Introduction to Data Science,IBM,310000,4.6,https://www.coursera.org/,Coursera
52,Marketing in a Digital World,University of Illinois at Urbana-Champaign,310000,4.7,https://www.coursera.org/,Coursera
53,Modern Art & Ideas,The Museum of Modern Art,310000,4.7,https://www.coursera.org/,Coursera
54,Using Python to Access Web Data,University of Michigan,310000,4.8,https://www.coursera.org/,Coursera
55,The Complete Front-End Web Development Course!,"Get started as a front-end web developer using HTML, CSS, JavaScript, jQuery, and Bootstrap!",309061,4.4,https://www.udemy.com/course/front-end-web-development/,Udemy
56,"React - The Complete Guide (incl Hooks, React Router, Redux)","Dive in and learn React.js from scratch! Learn Reactjs, Hooks, Redux, React Routing, Animations, Next.js and way more!",304670,4.6,https://www.udemy.com/course/react-the-complete-guide-incl-redux/,Udemy
57,Developing Applications with Google Cloud Platform,Google Cloud,300000,4.7,https://www.coursera.org/,Coursera
58,Security in Google Cloud Platform,Google Cloud,300000,4.7,https://www.coursera.org/,Coursera
59,Fundamentals of Graphic Design,California Institute of the Arts,290000,4.8,https://www.coursera.org/,Coursera
60,Machine Learning,University of Washington,290000,4.6,https://www.coursera.org/,Coursera
61,Networking in Google Cloud,Google Cloud,290000,4.7,https://www.coursera.org/,Coursera
62,Business Analytics,University of Pennsylvania,280000,4.6,https://www.coursera.org/,Coursera
63,Mastering Data Analysis in Excel,Duke University,280000,4.2,https://www.coursera.org/,Coursera
64,Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,280000,4.8,https://www.coursera.org/,Coursera
65,Technical Support Fundamentals,Google,280000,4.8,https://www.coursera.org/,Coursera
66,Web Design for Everybody: Basics of Web Development & Coding,University of Michigan,280000,4.7,https://www.coursera.org/,Coursera
67,Deep Learning A-Z™: Hands-On Artificial Neural Networks,Learn to create Deep Learning Algorithms in Python from two Machine Learning & Data Science experts. Templates included.,278698,4.5,https://www.udemy.com/course/deeplearning/,Udemy
68,The Complete Web Developer Course 2.0,"Learn Web Development by building 25 websites and mobile apps using HTML, CSS, Javascript, PHP, Python, MySQL & more!",273598,4.5,https://www.udemy.com/course/the-complete-web-developer-course-2/,Udemy
69,The Complete 2020 Web Development Bootcamp,"Become a full-stack web developer with just one course. HTML, CSS, Javascript, Node, React, MongoDB and more!",270656,4.7,https://www.udemy.com/course/the-complete-web-development-bootcamp/,Udemy
70,An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",270000,4.6,https://www.coursera.org/,Coursera
71,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deeplearning.ai,270000,4.9,https://www.coursera.org/,Coursera
72,Introduction to Mathematical Thinking,Stanford University,270000,4.8,https://www.coursera.org/,Coursera
73,Introduction to Programming with MATLAB,Vanderbilt University,270000,4.8,https://www.coursera.org/,Coursera
74,Introduction to Psychology,Yale University,270000,4.9,https://www.coursera.org/,Coursera
75,Introductory Human Physiology,Duke University,270000,4.7,https://www.coursera.org/,Coursera
76,Write Professional Emails in English,Georgia Institute of Technology,270000,4.7,https://www.coursera.org/,Coursera
77,Finance & Quantitative Modeling for Analysts,University of Pennsylvania,260000,4.5,https://www.coursera.org/,Coursera
78,Game Theory,Stanford University,260000,4.6,https://www.coursera.org/,Coursera
79,Greek and Roman Mythology,University of Pennsylvania,260000,4.8,https://www.coursera.org/,Coursera
80,Methods and Statistics in Social Sciences,University of Amsterdam,260000,4.6,https://www.coursera.org/,Coursera
81,What is Data Science?,IBM,260000,4.7,https://www.coursera.org/,Coursera
82,Object Oriented Java Programming: Data Structures and Beyond,University of California San Diego,250000,4.7,https://www.coursera.org/,Coursera
83,"Programming Foundations with JavaScript, HTML and CSS",Duke University,250000,4.6,https://www.coursera.org/,Coursera
84,Learn Python Programming Masterclass,This Python For Beginners Course Teaches You The Python Language Fast. Includes Python Online Training With Python 3,240790,4.5,https://www.udemy.com/course/python-the-complete-python-developer-course/,Udemy
85,Convolutional Neural Networks,deeplearning.ai,240000,4.9,https://www.coursera.org/,Coursera
86,Design Thinking for Innovation,University of Virginia,240000,4.6,https://www.coursera.org/,Coursera
87,Excel Skills for Business,Macquarie University,240000,4.9,https://www.coursera.org/,Coursera
88,"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,240000,4.8,https://www.coursera.org/,Coursera
